window_size,pca_variance,pca_n_components_used,n_estimators,max_samples,max_features,Val_AUPR,Val_AUROC
30,0.99,297,200,auto,0.7,0.14681140193032435,0.5007483028722483
30,0.95,282,200,256,1.0,0.14670456599997223,0.49197795706009667
90,0.99,888,200,256,1.0,0.1466619362994684,0.49169546737961833
90,0.99,888,200,256,0.7,0.14651961418730378,0.4889791438349752
90,0.99,888,400,256,1.0,0.1464649296331677,0.5013404706000152
60,0.95,561,400,256,0.7,0.1458719340215748,0.500284085712759
60,0.99,592,200,auto,1.0,0.14575137898230772,0.49299329554775484
90,0.95,838,400,auto,0.7,0.1454559249502725,0.4943092720962909
60,0.99,592,400,256,0.7,0.14516773518399118,0.49342165052657094
60,0.95,561,400,512,1.0,0.14512135819420469,0.48736263682048575
30,0.99,297,200,auto,1.0,0.1449808899732972,0.4844334640969257
90,0.99,888,200,512,1.0,0.14440377243625355,0.4869249906570927
90,0.9,780,400,auto,0.7,0.14430188377639702,0.5062805558456551
30,0.99,297,200,512,1.0,0.14411485794642148,0.49625536849632984
60,0.9,524,200,512,0.7,0.1437999526520935,0.49113529863144323
90,0.9,780,200,512,0.7,0.14358672921332302,0.49138769025452456
90,0.95,838,400,auto,1.0,0.1426620565192866,0.4948190180380292
30,0.99,297,200,512,0.7,0.14217391635791804,0.49016944347801805
90,0.99,888,200,auto,1.0,0.14064802623133624,0.4876949050905436
30,0.95,283,200,512,0.7,0.14058012658294597,0.4930243005339544
